Sequence #,Freq (MHz),Modulation,BW (Hz),SF,Coding Rate,ADR,Time,Chan,RSSI (dBm),SNR (dB)
113,868.1,LoRa,125,SF12,4/5,on,2015-07-08 09:11:19,0,-76,5
112,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:11:17,8,-89,9.8
111,867.5,LoRa,125,SF7,4/5,on,2015-07-08 09:11:17,5,-88,7.8
110,867.7,LoRa,125,SF8,4/5,on,2015-07-08 09:11:16,6,-80,12
109,868.1,LoRa,125,SF9,4/5,on,2015-07-08 09:11:16,0,-106,11.8
107,867.5,LoRa,125,SF11,4/5,on,2015-07-08 09:11:14,5,-76,10.8
106,867.9,LoRa,125,SF12,4/5,on,2015-07-08 09:11:13,7,-80,12
105,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:11:11,8,-79,10
104,867.1,LoRa,125,SF7,4/5,on,2015-07-08 09:11:10,3,-82,10.2
103,867.3,LoRa,125,SF8,4/5,on,2015-07-08 09:11:10,4,-84,12.8
102,867.7,LoRa,125,SF9,4/5,on,2015-07-08 09:11:09,6,-96,12.2
100,868.5,LoRa,125,SF11,4/5,on,2015-07-08 09:11:08,2,-82,9.8
99,867.3,LoRa,125,SF12,4/5,on,2015-07-08 09:11:06,4,-86,13.2
98,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:11:04,8,-84,7
97,868.3,LoRa,125,SF7,4/5,on,2015-07-08 09:11:04,1,-89,10.2
95,867.3,LoRa,125,SF9,4/5,on,2015-07-08 09:11:03,4,-80,12.5
93,868.1,LoRa,125,SF11,4/5,on,2015-07-08 09:11:01,0,-81,9.8
92,867.1,LoRa,125,SF12,4/5,on,2015-07-08 09:11:00,3,-84,12
91,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:10:58,8,-77,9.8
90,867.7,LoRa,125,SF7,4/5,on,2015-07-08 09:10:58,6,-80,10.5
88,867.1,LoRa,125,SF9,4/5,on,2015-07-08 09:10:57,3,-92,11.8
86,867.9,LoRa,125,SF11,4/5,on,2015-07-08 09:10:55,7,-74,11.2
85,868.3,LoRa,125,SF12,4/5,on,2015-07-08 09:10:54,1,-75,6.8
84,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:10:52,8,-78,9.5
83,867.3,LoRa,125,SF7,4/5,on,2015-07-08 09:10:51,4,-73,10.8
81,868.3,LoRa,125,SF9,4/5,on,2015-07-08 09:10:50,1,-80,12
79,867.3,LoRa,125,SF11,4/5,on,2015-07-08 09:10:49,4,-69,12.2
78,867.9,LoRa,125,SF12,4/5,on,2015-07-08 09:10:48,7,-80,12
77,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:10:45,8,-79,9.8
76,867.1,LoRa,125,SF7,4/5,on,2015-07-08 09:10:45,3,-70,10.2
74,867.7,LoRa,125,SF9,4/5,on,2015-07-08 09:10:44,6,-73,10.8
72,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:10:43,3,-86,11.8
71,867.5,LoRa,125,SF12,4/5,on,2015-07-08 09:10:41,5,-63,10.2
70,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:10:39,8,-70,10
69,868.1,LoRa,125,SF7,4/5,on,2015-07-08 09:10:39,0,-90,9.2
67,867.3,LoRa,125,SF9,4/5,on,2015-07-08 09:10:38,4,-82,13.2
65,868.3,LoRa,125,SF11,4/5,on,2015-07-08 09:10:36,1,-73,13
64,867.1,LoRa,125,SF12,4/5,on,2015-07-08 09:10:35,3,-82,11.8
63,868.3,LoRa,250,SF7,4/5,on,2015-07-08 09:10:33,8,-76,9.8
62,867.9,LoRa,125,SF7,4/5,on,2015-07-08 09:10:32,7,-86,10
61,868.1,LoRa,125,SF8,4/5,on,2015-07-08 09:10:32,0,-80,11
