Sequence #,Freq (MHz),Modulation,BW (Hz),SF,Coding Rate,ADR,Time,Chan,RSSI (dBm),SNR (dB)
1474,867.9,LoRa,125,SF9,4/5,on,2015-07-08 09:08:58,3,-125,-11.5
1472,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:08:56,0,-122,-13
1436,867.1,LoRa,125,SF12,4/5,on,2015-07-08 09:08:23,0,-122,-11.5
1416,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:08:05,0,-120,-11.5
1332,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:06:50,0,-122,-10.2
1320,867.1,LoRa,125,SF9,4/5,on,2015-07-08 09:06:38,0,-121,-11.5
1154,867.9,LoRa,125,SF7,4/5,on,2015-07-08 09:04:08,3,-121,-7.5
1152,867.5,LoRa,125,SF9,4/5,on,2015-07-08 09:04:07,0,-120,-11.8
1144,867.9,LoRa,125,SF10,4/5,on,2015-07-08 09:04:00,0,-121,-14
1128,867.5,LoRa,125,SF12,4/5,on,2015-07-08 09:03:45,0,-120,-10
1124,867.1,LoRa,125,SF9,4/5,on,2015-07-08 09:03:42,0,-121,-7.8
1108,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:03:27,0,-121,-9.5
1102,867.5,LoRa,125,SF10,4/5,on,2015-07-08 09:03:22,3,-122,-8.5
1094,867.9,LoRa,125,SF11,4/5,on,2015-07-08 09:03:15,3,-121,-3.8
1080,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:03:02,0,-119,-3.5
1074,867.9,LoRa,125,SF10,4/5,on,2015-07-08 09:02:57,3,-120,-5.2
1070,867.9,LoRa,125,SF7,4/5,on,2015-07-08 09:02:52,3,-121,-6
1058,867.9,LoRa,125,SF12,4/5,on,2015-07-08 09:02:42,3,-119,-5.8
1038,867.9,LoRa,125,SF11,4/5,on,2015-07-08 09:02:24,3,-121,-4.2
1002,867.1,LoRa,125,SF12,4/5,on,2015-07-08 09:01:51,3,-124,-9.2
996,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:01:46,0,-122,-10
962,867.9,LoRa,125,SF10,4/5,on,2015-07-08 09:01:16,3,-122,-7.2
960,867.1,LoRa,125,SF12,4/5,on,2015-07-08 09:01:13,0,-121,-10.5
954,867.9,LoRa,125,SF11,4/5,on,2015-07-08 09:01:08,3,-124,-9.5
940,867.1,LoRa,125,SF11,4/5,on,2015-07-08 09:00:56,0,-122,-5.2
932,867.1,LoRa,125,SF12,4/5,on,2015-07-08 09:00:48,0,-122,-11.5
926,867.9,LoRa,125,SF11,4/5,on,2015-07-08 09:00:43,3,-124,-8.5
898,867.9,LoRa,125,SF11,4/5,on,2015-07-08 09:00:18,3,-124,-9.5
816,867.1,LoRa,125,SF9,4/5,on,2015-07-08 08:59:03,0,-121,-6.8
808,867.1,LoRa,125,SF10,4/5,on,2015-07-08 08:58:56,0,-118,-4.2
792,867.1,LoRa,125,SF12,4/5,on,2015-07-08 08:58:42,0,-122,-5.2
786,867.9,LoRa,125,SF11,4/5,on,2015-07-08 08:58:37,3,-122,-5.2
768,869.25,LoRa,125,SF8,4/5,on,2015-07-08 08:58:20,0,-121,-3.2
568,867.1,LoRa,125,SF12,4/5,on,2015-07-08 08:55:19,0,-121,-10
500,867.1,LoRa,125,SF10,4/5,on,2015-07-08 08:54:18,0,-121,-15.8
450,867.9,LoRa,125,SF11,4/5,on,2015-07-08 08:53:33,3,-123,-9.2
436,867.1,LoRa,125,SF11,4/5,on,2015-07-08 08:53:21,0,-122,-11.2
422,867.9,LoRa,125,SF11,4/5,on,2015-07-08 08:53:08,3,-122,-12
394,867.9,LoRa,125,SF11,4/5,on,2015-07-08 08:52:43,3,-122,-6.5
352,867.1,LoRa,125,SF11,4/5,on,2015-07-08 08:52:05,0,-120,-7.5
348,867.1,LoRa,125,SF8,4/5,on,2015-07-08 08:52:01,0,-121,-8.8
340,867.1,LoRa,125,SF9,4/5,on,2015-07-08 08:51:54,0,-120,-6.5
326,867.9,LoRa,125,SF9,4/5,on,2015-07-08 08:51:41,3,-121,-12.8
302,867.9,LoRa,125,SF12,4/5,on,2015-07-08 08:51:19,3,-121,-10.8
298,867.9,LoRa,125,SF9,4/5,on,2015-07-08 08:51:16,3,-122,-6.8
290,867.9,LoRa,125,SF10,4/5,on,2015-07-08 08:51:09,3,-120,-7.2
274,867.9,LoRa,125,SF12,4/5,on,2015-07-08 08:50:54,3,-120,-6
240,867.1,LoRa,125,SF11,4/5,on,2015-07-08 08:50:24,0,-122,-9.2
232,867.1,LoRa,125,SF12,4/5,on,2015-07-08 08:50:16,0,-124,-9.5
226,867.9,LoRa,125,SF11,4/5,on,2015-07-08 08:50:11,3,-121,-7.2
204,867.1,LoRa,125,SF12,4/5,on,2015-07-08 08:49:51,0,-119,-7
202,867.9,LoRa,125,SF7,4/5,on,2015-07-08 08:49:48,3,-122,-8
170,867.9,LoRa,125,SF11,4/5,on,2015-07-08 08:49:21,3,-114,-6.2
114,867.9,LoRa,125,SF11,4/5,on,2015-07-08 08:48:30,3,-122,-13.5
88,867.9,LoRa,125,SF9,4/5,on,2015-07-08 08:48:06,0,-121,-7.2
