Sequence,Date - Time,Frequency [MHz],Channel,Modulation,Bandwidth [KHz],SF,Coding rate,ADR,RSSI [dBm],SNR [dB],Port,Payload ,Led 3 status,Athmospheric pressure,Temperature,Altitude (Pressure based),Battery status,Latitude,Longitude,Altitude
8523,2015-07-08 14:34:38,868.5,2,LoRa,125,SF9,4/5,on,-122,-3.2,2,0026c30bea03b2404040a404171900fd,00,26c3,0bea,03b2,25.2 %,45.17754616469695,5.751879900917995,00fd
8516,2015-07-08 14:34:32,868.1,0,LoRa,125,SF9,4/5,on,-120,-8,2,0026c30bea03af3f4040b004171400f8,00,26c3,0bea,03af,24.8 %,45.17767491074501,5.75177261254461,00f8
8513,2015-07-08 14:34:29,867.9,7,LoRa,125,SF12,4/5,on,-124,-2.8,2,0026c30bf003b1434040b004171400f8,00,26c3,0bf0,03b1,26.38 %,45.17767491074501,5.75177261254461,00f8
8507,2015-07-08 14:34:24,868.5,2,LoRa,125,SF11,4/5,on,-119,-1.5,2,0026c30bf003b2424040b004171400f8,00,26c3,0bf0,03b2,25.98 %,45.17767491074501,5.75177261254461,00f8
8505,2015-07-08 14:34:20,868.3,8,LoRa,250,SF7,4/5,on,-119,-8.8,2,0026c40bf603a8424040bd04171000f1,00,26c4,0bf6,03a8,25.98 %,45.17781438563041,5.751686781845901,00f1
8503,2015-07-08 14:34:19,867.1,3,LoRa,125,SF8,4/5,on,-120,-2.8,2,0026c40bf603ad424040bd04171000f1,00,26c4,0bf6,03ad,25.98 %,45.17781438563041,5.751686781845901,00f1
8502,2015-07-08 14:34:19,867.3,4,LoRa,125,SF9,4/5,on,-119,2.5,2,0026c40bf603a9434040bd04171000f1,00,26c4,0bf6,03a9,26.38 %,45.17781438563041,5.751686781845901,00f1
8500,2015-07-08 14:34:17,868.3,1,LoRa,125,SF11,4/5,on,-120,-0.2,2,0026c20bf603a8424040bd04171000f1,00,26c2,0bf6,03a8,25.98 %,45.17781438563041,5.751686781845901,00f1
8499,2015-07-08 14:34:16,868.75,3,LoRa,125,SF12,4/5,on,-124,-1.5,2,0026c40bfc03af424040bd04171000f1,00,26c4,0bfc,03af,25.98 %,45.17781438563041,5.751686781845901,00f1
8495,2015-07-08 14:34:13,867.1,3,LoRa,125,SF9,4/5,on,-120,3,2,0026c30bfc03b3434040bd04171000f1,00,26c3,0bfc,03b3,26.38 %,45.17781438563041,5.751686781845901,00f1
8493,2015-07-08 14:34:11,867.7,6,LoRa,125,SF11,4/5,on,-118,0,2,0026c20bfc03b6434040cc04170e00eb,00,26c2,0bfc,03b6,26.38 %,45.17797531819049,5.751643866496547,00eb
8489,2015-07-08 14:34:07,867.7,6,LoRa,125,SF8,4/5,on,-116,-4.2,2,0026c30bfc03b0414040cc04170e00eb,00,26c3,0bfc,03b0,25.59 %,45.17797531819049,5.751643866496547,00eb
8484,2015-07-08 14:34:01,868.3,8,LoRa,250,SF7,4/5,on,-115,-2.8,2,0026c30c0303b9414040dc04170b00e6,00,26c3,0c03,03b9,25.59 %,45.17814697958791,5.751579493472516,00e6
8476,2015-07-08 14:33:55,868.1,0,LoRa,125,SF7,4/5,on,-121,-3.2,2,0026c30c0303ac404040dc04170b00e6,00,26c3,0c03,03ac,25.2 %,45.17814697958791,5.751579493472516,00e6
8474,2015-07-08 14:33:54,867.5,5,LoRa,125,SF9,4/5,on,-114,-0.8,2,0026c30bfc03b4404040dc04170b00e6,00,26c3,0bfc,03b4,25.2 %,45.17814697958791,5.751579493472516,00e6
8472,2015-07-08 14:33:52,868.3,1,LoRa,125,SF11,4/5,on,-116,-5.2,2,0026c20bfc03b9404040e904170700e2,00,26c2,0bfc,03b9,25.2 %,45.17828645447331,5.751493662773807,00e2
8467,2015-07-08 14:33:47,868.5,2,LoRa,125,SF9,4/5,on,-121,-2.2,2,0026c20c0903b7414040e904170700e2,00,26c2,0c09,03b7,25.59 %,45.17828645447331,5.751493662773807,00e2
8463,2015-07-08 14:33:42,868.3,8,LoRa,250,SF7,4/5,on,-118,-8.2,2,0026c20c1c03b5414040e904170700e2,00,26c2,0c1c,03b5,25.59 %,45.17828645447331,5.751493662773807,00e2
8451,2015-07-08 14:33:33,867.1,3,LoRa,125,SF11,4/5,on,-122,-2.2,2,0026c40c2203aa404040f704170500e0,00,26c4,0c22,03aa,25.2 %,45.17843665819605,5.751450747424453,00e0
8444,2015-07-08 14:33:27,868.1,0,LoRa,125,SF11,4/5,on,-122,-4.8,2,0026c30c2203b73f40410304170300da,00,26c3,0c22,03b7,24.8 %,45.17856540424411,5.751407832075099,00da
8437,2015-07-08 14:33:20,867.7,6,LoRa,125,SF11,4/5,on,-117,-1.8,2,0026c40c2203ac4240411004170000cf,00,26c4,0c22,03ac,25.98 %,45.17870487912951,5.751343459051068,00cf
8436,2015-07-08 14:33:19,868.3,1,LoRa,125,SF12,4/5,on,-120,-7,2,0026c40c2803a73e40411004170000cf,00,26c4,0c28,03a7,24.41 %,45.17870487912951,5.751343459051068,00cf
8434,2015-07-08 14:33:17,867.3,4,LoRa,125,SF7,4/5,on,-119,-4.2,2,0026c30c2203aa4140411004170000cf,00,26c3,0c22,03aa,25.59 %,45.17870487912951,5.751343459051068,00cf
8433,2015-07-08 14:33:16,867.7,6,LoRa,125,SF8,4/5,on,-120,-2.2,2,0026c30c2203b13f40411004170000cf,00,26c3,0c22,03b1,24.8 %,45.17870487912951,5.751343459051068,00cf
8430,2015-07-08 14:33:14,867.3,4,LoRa,125,SF11,4/5,on,-120,-4.2,2,0026c30c2203a54240411004170000cf,00,26c3,0c22,03a5,25.98 %,45.17870487912951,5.751343459051068,00cf
8429,2015-07-08 14:33:13,867.9,7,LoRa,125,SF12,4/5,on,-121,-3.5,2,0026c20c2e03c0404041170416f700d1,00,26c2,0c2e,03c0,25.2 %,45.17877998099088,5.751150339978974,00d1
8427,2015-07-08 14:33:10,868.5,2,LoRa,125,SF7,4/5,on,-122,-4,2,0026c10c2e03c6404041170416f700d1,00,26c1,0c2e,03c6,25.2 %,45.17877998099088,5.751150339978974,00d1
8423,2015-07-08 14:33:08,868.5,2,LoRa,125,SF11,4/5,on,-120,-3.2,2,0026c00c3503c2404041170416f700d1,00,26c0,0c35,03c2,25.2 %,45.17877998099088,5.751150339978974,00d1
8422,2015-07-08 14:33:07,867.3,4,LoRa,125,SF12,4/5,on,-122,-6,2,0026c20c4703c4424041170416f700d1,00,26c2,0c47,03c4,25.98 %,45.17877998099088,5.751150339978974,00d1
8413,2015-07-08 14:32:58,867.7,6,LoRa,125,SF7,4/5,on,-119,-3.5,2,0026c10c4e03b53f40411c0416ec00d1,00,26c1,0c4e,03b5,24.8 %,45.178833625177575,5.750914305557526,00d1
8410,2015-07-08 14:32:56,867.3,4,LoRa,125,SF10,4/5,on,-114,0.8,2,0026c20c5403bc4240411c0416ec00d1,00,26c2,0c54,03bc,25.98 %,45.178833625177575,5.750914305557526,00d1
8406,2015-07-08 14:32:51,867.3,4,LoRa,125,SF7,4/5,on,-119,-2.5,2,0026c60c67039b4040411b0416e800d0,00,26c6,0c67,039b,25.2 %,45.178822896340236,5.750828474858817,00d0
8403,2015-07-08 14:32:50,868.5,2,LoRa,125,SF10,4/5,on,-119,-7.5,2,0026c50c6703a34140411b0416e800d0,00,26c5,0c67,03a3,25.59 %,45.178822896340236,5.750828474858817,00d0
8402,2015-07-08 14:32:49,867.3,4,LoRa,125,SF11,4/5,on,-122,-3.5,2,0026c30c6703ad4240411b0416e800d0,00,26c3,0c67,03ad,25.98 %,45.178822896340236,5.750828474858817,00d0
8399,2015-07-08 14:32:45,867.1,3,LoRa,125,SF7,4/5,on,-121,-3.5,2,0026c80c7303944240411b0416e800d0,00,26c8,0c73,0394,25.98 %,45.178822896340236,5.750828474858817,00d0
8395,2015-07-08 14:32:43,868.5,2,LoRa,125,SF11,4/5,on,-121,-10.2,2,0026c60c6d039b4040411b0416e800d0,00,26c6,0c6d,039b,25.2 %,45.178822896340236,5.750828474858817,00d0
8385,2015-07-08 14:32:32,867.7,6,LoRa,125,SF7,4/5,on,-120,-1.2,2,0026c70c7303964240410f0416d100d1,00,26c7,0c73,0396,25.98 %,45.17869415029217,5.750334948341244,00d1
8381,2015-07-08 14:32:30,867.7,6,LoRa,125,SF11,4/5,on,-120,-6,2,0026c60c6d038c414040fd0416a900d2,00,26c6,0c6d,038c,25.59 %,45.17850103122008,5.7494766413541605,00d2
8380,2015-07-08 14:32:29,868.1,0,LoRa,125,SF12,4/5,on,-124,-9.8,2,0026c80c730393404040fd0416a900d2,00,26c8,0c73,0393,25.2 %,45.17850103122008,5.7494766413541605,00d2
8374,2015-07-08 14:32:24,867.3,4,LoRa,125,SF11,4/5,on,-120,-8,2,0026c50c6d039e414040fd0416a900d2,00,26c5,0c6d,039e,25.59 %,45.17850103122008,5.7494766413541605,00d2
8373,2015-07-08 14:32:22,867.9,7,LoRa,125,SF12,4/5,on,-124,-7,2,0026c60c730399414040e704168100d0,00,26c6,0c73,0399,25.59 %,45.17826499679863,5.748618334367077,00d0
8367,2015-07-08 14:32:17,868.5,2,LoRa,125,SF11,4/5,on,-122,-10,2,0026c60c6d039a404040e704168100d0,00,26c6,0c6d,039a,25.2 %,45.17826499679863,5.748618334367077,00d0
8356,2015-07-08 14:32:07,868.1,0,LoRa,125,SF8,4/5,on,-121,-0.5,2,0026c60c6d0399424040d904165300d0,00,26c6,0c6d,0399,25.98 %,45.17811479307589,5.74763128133193,00d0
8355,2015-07-08 14:32:06,867.1,3,LoRa,125,SF9,4/5,on,-122,-1.2,2,0026c50c6d0396424040d904165300d0,00,26c5,0c6d,0396,25.98 %,45.17811479307589,5.74763128133193,00d0
8353,2015-07-08 14:32:05,867.9,7,LoRa,125,SF11,4/5,on,-121,-3,2,0026c40c6d039f414040d904165300d0,00,26c4,0c6d,039f,25.59 %,45.17811479307589,5.74763128133193,00d0
8352,2015-07-08 14:32:03,868.3,1,LoRa,125,SF12,4/5,on,-120,-9,2,0026c70c7303983f4040d904165300d0,00,26c7,0c73,0398,24.8 %,45.17811479307589,5.74763128133193,00d0
