Port,Time,Sequence #,Data
2,2015-07-08 14:34:41,8527,0026c30bf003a7424040a404171900fd
2,2015-07-08 14:34:38,8523,0026c30bea03b2404040a404171900fd
2,2015-07-08 14:34:36,8521,0026c20bf003b5424040a404171900fd
2,2015-07-08 14:34:32,8517,0026c40bf003b1424040a404171900fd
2,2015-07-08 14:34:31,8515,0026c30bf003af414040b004171400f8
2,2015-07-08 14:34:26,8511,0026c40bf003b2404040b004171400f8
2,2015-07-08 14:34:26,8510,0026c30bf003ad424040b004171400f8
2,2015-07-08 14:34:25,8509,0026c30bf603b2414040b004171400f8
2,2015-07-08 14:34:24,8507,0026c30bf003b2424040b004171400f8
2,2015-07-08 14:34:22,8506,0026c40bf603ad414040bd04171000f1
2,2015-07-08 14:34:19,8503,0026c40bf603ad424040bd04171000f1
2,2015-07-08 14:34:17,8500,0026c20bf603a8424040bd04171000f1
2,2015-07-08 14:34:14,8497,0026c40bfc03ae414040bd04171000f1
2,2015-07-08 14:34:07,8489,0026c30bfc03b0414040cc04170e00eb
2,2015-07-08 14:34:00,8481,0026c20bfc03b73e4040dc04170b00e6
2,2015-07-08 14:33:52,8472,0026c20bfc03b9404040e904170700e2
2,2015-07-08 14:33:51,8471,0026c40c0903ad3f4040e904170700e2
2,2015-07-08 14:33:41,8460,0026c20c1503b8424040f704170500e0
2,2015-07-08 14:33:40,8459,0026c30c1c03b0404040f704170500e0
2,2015-07-08 14:33:38,8457,0026c40c2203a63f4040f704170500e0
2,2015-07-08 14:33:33,8451,0026c40c2203aa404040f704170500e0
2,2015-07-08 14:33:32,8450,0026c40c2803af4240410304170300da
2,2015-07-08 14:33:27,8444,0026c30c2203b73f40410304170300da
2,2015-07-08 14:33:26,8443,0026c40c2803a54240410304170300da
2,2015-07-08 14:33:22,8439,0026c40c2203af4040410304170300da
2,2015-07-08 14:33:20,8437,0026c40c2203ac4240411004170000cf
2,2015-07-08 14:33:19,8436,0026c40c2803a73e40411004170000cf
2,2015-07-08 14:33:14,8430,0026c30c2203a54240411004170000cf
2,2015-07-08 14:33:07,8422,0026c20c4703c4424041170416f700d1
2,2015-07-08 14:33:02,8417,0026c20c4703b5404041170416f700d1
2,2015-07-08 14:33:02,8416,0026c20c4103b74340411c0416ec00d1
2,2015-07-08 14:33:00,8415,0026c40c4e03a94140411c0416ec00d1
2,2015-07-08 14:32:55,8409,0026c10c5403c14040411c0416ec00d1
2,2015-07-08 14:32:49,8402,0026c30c6703ad4240411b0416e800d0
2,2015-07-08 14:32:48,8401,0026c80c7303904140411b0416e800d0
2,2015-07-08 14:32:39,8392,0026c70c7303964340410f0416d100d1
2,2015-07-08 14:32:30,8381,0026c60c6d038c414040fd0416a900d2
2,2015-07-08 14:32:22,8373,0026c60c730399414040e704168100d0
2,2015-07-08 14:32:16,8366,0026c60c73039b404040e704168100d0
2,2015-07-08 14:32:05,8353,0026c40c6d039f414040d904165300d0
2,2015-07-08 14:31:57,8345,0026c70c6d038c424040da04162e00d3
2,2015-07-08 14:31:44,8331,0026c70c79038e424040eb04161600d3
2,2015-07-08 14:31:32,8317,0026c70c7903953f4040e40415ed00d5
2,2015-07-08 14:31:28,8313,0026c60c7303963f4040e40415ed00d5
2,2015-07-08 14:31:27,8311,0026c70c7303953f4040e40415ed00d5
2,2015-07-08 14:31:25,8310,0026c80c790385404040e40415ed00d5
2,2015-07-08 14:31:22,8306,0026c80c730393404040e40415ed00d5
2,2015-07-08 14:31:21,8305,0026c80c73038c424040e20415e700d7
2,2015-07-08 14:31:20,8304,0026c70c73038e424040e20415e700d7
2,2015-07-08 14:31:19,8303,0026c90c79038e404040e20415e700d7
2,2015-07-08 14:31:16,8300,0026c80c73038b424040e20415e700d7
2,2015-07-08 14:31:16,8299,0026c70c73038c3f4040e20415e700d7
2,2015-07-08 14:31:14,8297,0026c80c73038c414040e20415e700d7
2,2015-07-08 14:31:10,8293,0026c70c6d038a404040cc0415c400da
