Sequence,Date - Time,Frequency [MHz],Channel,Modulation,Bandwidth [KHz],SF,Coding rate,ADR,RSSI [dBm],SNR [dB],Port,Payload ,Led 3 status,Athmospheric pressure,Temperature,Altitude (Pressure based),Battery status,Latitude,Longitude,Altitude
8317,2015-07-08 14:31:32,868.1,0,LoRa,125,SF12,4/5,on,-121,-16.8,2,0026c70c7903953f4040e40415ed00d5,00,26c7,0c79,0395,24.8 %,45.178232810286616,5.745442598514867,00d5
8310,2015-07-08 14:31:25,867.3,4,LoRa,125,SF12,4/5,on,-121,-14,2,0026c80c790385404040e40415ed00d5,00,26c8,0c79,0385,25.2 %,45.178232810286616,5.745442598514867,00d5
7842,2015-07-08 14:24:23,867.3,4,LoRa,125,SF11,4/5,on,-122,-13.2,2,0026c20bab03b142403d920413bf00dd,00,26c2,0bab,03b1,25.98 %,45.16911329854885,5.733469216045048,00dd
7834,2015-07-08 14:24:16,867.3,4,LoRa,125,SF12,4/5,on,-120,-11.8,2,0026c40bb103ae41403d8c0413b600dd,00,26c4,0bb1,03ae,25.59 %,45.16904892552482,5.733276096972954,00dd
7828,2015-07-08 14:24:11,868.1,0,LoRa,125,SF11,4/5,on,-124,-10.2,2,0026c30bb103ae41403d7f0413a600df,00,26c3,0bb1,03ae,25.59 %,45.16890945063942,5.732932774178121,00df
7827,2015-07-08 14:24:09,867.1,3,LoRa,125,SF12,4/5,on,-121,-10.5,2,0026c40bb803af3f403d7f0413a600df,00,26c4,0bb8,03af,24.8 %,45.16890945063942,5.732932774178121,00df
7813,2015-07-08 14:23:57,867.9,7,LoRa,125,SF12,4/5,on,-124,-14,2,0026c40bbe03a841403d7f0413a600df,00,26c4,0bbe,03a8,25.59 %,45.16890945063942,5.732932774178121,00df
7809,2015-07-08 14:23:53,867.7,6,LoRa,125,SF9,4/5,on,-121,-11.2,2,0026c40bb803a73f403d7f0413a600df,00,26c4,0bb8,03a7,24.8 %,45.16890945063942,5.732932774178121,00df
7807,2015-07-08 14:23:52,868.5,2,LoRa,125,SF11,4/5,on,-121,-15,2,0026c40bbe03a741403d7f0413a600df,00,26c4,0bbe,03a7,25.59 %,45.16890945063942,5.732932774178121,00df
7806,2015-07-08 14:23:50,867.5,5,LoRa,125,SF12,4/5,on,-120,-14.5,2,0026c50bca03a341403d7f0413a600df,00,26c5,0bca,03a3,25.59 %,45.16890945063942,5.732932774178121,00df
7799,2015-07-08 14:23:44,867.1,3,LoRa,125,SF12,4/5,on,-122,-13.8,2,0026c30bca03b441403d7f0413a600df,00,26c3,0bca,03b4,25.59 %,45.16890945063942,5.732932774178121,00df
7794,2015-07-08 14:23:40,867.3,4,LoRa,125,SF10,4/5,on,-122,-11.5,2,0026c30bc403b43f403d7f0413a600df,00,26c3,0bc4,03b4,24.8 %,45.16890945063942,5.732932774178121,00df
7792,2015-07-08 14:23:38,868.3,1,LoRa,125,SF12,4/5,on,-122,-10.2,2,0026c40bca03b53f403d7f0413a600df,00,26c4,0bca,03b5,24.8 %,45.16890945063942,5.732932774178121,00df
7790,2015-07-08 14:23:35,867.3,4,LoRa,125,SF7,4/5,on,-121,-6.5,2,0026c20bc403b53f403d7f0413a600df,00,26c2,0bc4,03b5,24.8 %,45.16890945063942,5.732932774178121,00df
7786,2015-07-08 14:23:33,867.5,5,LoRa,125,SF11,4/5,on,-121,-16.8,2,0026c30bc403ae41403d7f0413a600df,00,26c3,0bc4,03ae,25.59 %,45.16890945063942,5.732932774178121,00df
7779,2015-07-08 14:23:26,867.9,3,LoRa,125,SF11,4/5,on,-122,-10.8,2,0026c30bc403b241403d7c0413a400e0,00,26c3,0bc4,03b2,25.59 %,45.1688772641274,5.7328898588287664,00e0
7778,2015-07-08 14:23:25,867.5,5,LoRa,125,SF12,4/5,on,-120,-14,2,0026c50bd103ab40403d7c0413a400e0,00,26c5,0bd1,03ab,25.2 %,45.1688772641274,5.7328898588287664,00e0
7764,2015-07-08 14:23:12,868.1,0,LoRa,125,SF12,4/5,on,-122,-15,2,0026c40bd103a842403d8c04136700e0,00,26c4,0bd1,03a8,25.98 %,45.16904892552482,5.731580940673464,00e0
7746,2015-07-08 14:22:56,867.5,5,LoRa,125,SF9,4/5,on,-121,-9.8,2,0026c20bd703b542403d8c04136700e0,00,26c2,0bd7,03b5,25.98 %,45.16904892552482,5.731580940673464,00e0
7744,2015-07-08 14:22:55,868.3,1,LoRa,125,SF11,4/5,on,-122,-12.5,2,0026c20bd103b641403d8c04136700e0,00,26c2,0bd1,03b6,25.59 %,45.16904892552482,5.731580940673464,00e0
7743,2015-07-08 14:22:53,868.5,2,LoRa,125,SF12,4/5,on,-122,-13,2,0026c20bdd03bf41403d8c04136700e0,00,26c2,0bdd,03bf,25.59 %,45.16904892552482,5.731580940673464,00e0
7739,2015-07-08 14:22:50,867.1,3,LoRa,125,SF9,4/5,on,-121,-13,2,0026c10bd703bc3f403d8c04136700e0,00,26c1,0bd7,03bc,24.8 %,45.16904892552482,5.731580940673464,00e0
7737,2015-07-08 14:22:48,867.9,7,LoRa,125,SF11,4/5,on,-122,-13.5,2,0026c10bd703bb41403d8c04136700e0,00,26c1,0bd7,03bb,25.59 %,45.16904892552482,5.731580940673464,00e0
7736,2015-07-08 14:22:47,868.3,1,LoRa,125,SF12,4/5,on,-122,-10.2,2,0026c20bdd03bf43403d8c04136700e0,00,26c2,0bdd,03bf,26.38 %,45.16904892552482,5.731580940673464,00e0
7733,2015-07-08 14:22:44,867.7,6,LoRa,125,SF8,4/5,on,-120,-10.5,2,0026c20bdd03b742403d8c04136700e0,00,26c2,0bdd,03b7,25.98 %,45.16904892552482,5.731580940673464,00e0
7732,2015-07-08 14:22:44,868.3,1,LoRa,125,SF9,4/5,on,-121,-14,2,0026c20bd703bf40403d8c04136700e0,00,26c2,0bd7,03bf,25.2 %,45.16904892552482,5.731580940673464,00e0
7730,2015-07-08 14:22:42,867.3,4,LoRa,125,SF11,4/5,on,-122,-8.5,2,0026c10bd703b740403d8f04136300e1,00,26c1,0bd7,03b7,25.2 %,45.169081112036835,5.731495109974755,00e1
7729,2015-07-08 14:22:41,867.75,7,LoRa,125,SF12,4/5,on,-121,-15.2,2,0026c10be303c840403d8f04136300e1,00,26c1,0be3,03c8,25.2 %,45.169081112036835,5.731495109974755,00e1
7725,2015-07-08 14:22:37,867.7,6,LoRa,125,SF9,4/5,on,-122,-9.8,2,0026c20bd703c040403d8f04136300e1,00,26c2,0bd7,03c0,25.2 %,45.169081112036835,5.731495109974755,00e1
7688,2015-07-08 14:22:04,868.1,0,LoRa,125,SF11,4/5,on,-124,-16,2,0026c20be303bb40403dbb04132d00df,00,26c2,0be3,03bb,25.2 %,45.16955318087973,5.730336395542192,00df
7674,2015-07-08 14:21:51,867.3,4,LoRa,125,SF11,4/5,on,-122,-12.5,2,0026c10be303c641403df00412ec00e6,00,26c1,0be3,03c6,25.59 %,45.170121809258674,5.728941646688181,00e6
7667,2015-07-08 14:21:45,868.5,2,LoRa,125,SF11,4/5,on,-121,-13.2,2,0026c10bea03c441403df00412ec00e6,00,26c1,0bea,03c4,25.59 %,45.170121809258674,5.728941646688181,00e6
7663,2015-07-08 14:21:41,868.5,2,LoRa,125,SF8,4/5,on,-121,-7.2,2,0026c00bf003c540403e020412d300e6,00,26c0,0bf0,03c5,25.2 %,45.17031492833077,5.728405204821254,00e6
7662,2015-07-08 14:21:40,867.3,4,LoRa,125,SF9,4/5,on,-121,-8.8,2,0026c00bea03c742403e020412d300e6,00,26c0,0bea,03c7,25.98 %,45.17031492833077,5.728405204821254,00e6
7660,2015-07-08 14:21:39,868.3,1,LoRa,125,SF11,4/5,on,-122,-9.5,2,0026c00bf003c542403e020412d300e6,00,26c0,0bf0,03c5,25.98 %,45.17031492833077,5.728405204821254,00e6
7659,2015-07-08 14:21:38,867.1,3,LoRa,125,SF12,4/5,on,-121,-8.5,2,0026c10bf603c63f403e020412d300e6,00,26c1,0bf6,03c6,24.8 %,45.17031492833077,5.728405204821254,00e6
7652,2015-07-08 14:21:31,868.3,1,LoRa,125,SF12,4/5,on,-121,-11.5,2,0026c10bf603c942403e020412d300e6,00,26c1,0bf6,03c9,25.98 %,45.17031492833077,5.728405204821254,00e6
7650,2015-07-08 14:21:29,867.5,5,LoRa,125,SF7,4/5,on,-119,-3.5,2,0026c00bf603c442403e020412d300e6,00,26c0,0bf6,03c4,25.98 %,45.17031492833077,5.728405204821254,00e6
7646,2015-07-08 14:21:26,867.3,4,LoRa,125,SF11,4/5,on,-119,-13.2,2,0026c10bf603c441403e020412d300e6,00,26c1,0bf6,03c4,25.59 %,45.17031492833077,5.728405204821254,00e6
7645,2015-07-08 14:21:25,867.9,7,LoRa,125,SF12,4/5,on,-122,-14.8,2,0026c10bfc03c640403e020412d300e6,00,26c1,0bfc,03c6,25.2 %,45.17031492833077,5.728405204821254,00e6
7641,2015-07-08 14:21:21,867.9,7,LoRa,125,SF9,4/5,on,-121,-9.2,2,0026c00bf603c442403e020412d300e6,00,26c0,0bf6,03c4,25.98 %,45.17031492833077,5.728405204821254,00e6
7640,2015-07-08 14:21:21,868.3,1,LoRa,125,SF10,4/5,on,-121,-9.5,2,0026c10bf603c042403e020412d300e6,00,26c1,0bf6,03c0,25.98 %,45.17031492833077,5.728405204821254,00e6
7639,2015-07-08 14:21:20,867.75,3,LoRa,125,SF11,4/5,on,-122,-9.8,2,0026c10bf603c340403e020412d300e6,00,26c1,0bf6,03c3,25.2 %,45.17031492833077,5.728405204821254,00e6
7638,2015-07-08 14:21:19,867.5,5,LoRa,125,SF12,4/5,on,-120,-11.8,2,0026c00bf603c642403e020412d300e6,00,26c0,0bf6,03c6,25.98 %,45.17031492833077,5.728405204821254,00e6
7634,2015-07-08 14:21:15,867.5,5,LoRa,125,SF9,4/5,on,-119,-8.8,2,0026c00bf603c63f403e020412d300e6,00,26c0,0bf6,03c6,24.8 %,45.17031492833077,5.728405204821254,00e6
7632,2015-07-08 14:21:14,868.1,0,LoRa,125,SF11,4/5,on,-121,-3,2,0026c00bf603c33f403e020412d300e6,00,26c0,0bf6,03c3,24.8 %,45.17031492833077,5.728405204821254,00e6
7631,2015-07-08 14:21:12,867.1,3,LoRa,125,SF12,4/5,on,-122,-6,2,0026c20c0303bc42403e140412bb00e8,00,26c2,0c03,03bc,25.98 %,45.17050804740286,5.727890220629003,00e8
7625,2015-07-08 14:21:07,867.9,7,LoRa,125,SF11,4/5,on,-122,-11,2,0026c10bf603bc3f403e140412bb00e8,00,26c1,0bf6,03bc,24.8 %,45.17050804740286,5.727890220629003,00e8
7624,2015-07-08 14:21:06,868.3,1,LoRa,125,SF12,4/5,on,-122,-8.2,2,0026c30c0303b841403e140412bb00e8,00,26c3,0c03,03b8,25.59 %,45.17050804740286,5.727890220629003,00e8
7618,2015-07-08 14:21:01,867.3,4,LoRa,125,SF11,4/5,on,-122,-8.5,2,0026c20bf603b53f403e3104129600e7,00,26c2,0bf6,03b5,24.8 %,45.17081918368568,5.727096286665951,00e7
7610,2015-07-08 14:20:53,867.3,4,LoRa,125,SF12,4/5,on,-122,-12,2,0026c30c0303b142403e3104129600e7,00,26c3,0c03,03b1,25.98 %,45.17081918368568,5.727096286665951,00e7
7590,2015-07-08 14:20:36,867.3,4,LoRa,125,SF11,4/5,on,-121,-15,2,0026c20c0303b540403e5404126b00e4,00,26c2,0c03,03b5,25.2 %,45.17119469299253,5.726173606654836,00e4
7589,2015-07-08 14:20:34,867.7,6,LoRa,125,SF12,4/5,on,-122,-16,2,0026c20c0903b640403e5404126b00e4,00,26c2,0c09,03b6,25.2 %,45.17119469299253,5.726173606654836,00e4
7584,2015-07-08 14:20:30,868.1,0,LoRa,125,SF10,4/5,on,-122,-11.8,2,0026c20c0303be42403e5304126b00e4,00,26c2,0c03,03be,25.98 %,45.17118396415519,5.726173606654836,00e4
7583,2015-07-08 14:20:29,867.25,3,LoRa,125,SF11,4/5,on,-122,-8.8,2,0026c10c0303c741403e5304126b00e4,00,26c1,0c03,03c7,25.59 %,45.17118396415519,5.726173606654836,00e4
7576,2015-07-08 14:20:23,868.1,0,LoRa,125,SF11,4/5,on,-122,-16.8,2,0026c00c0303c141403e5304126b00e4,00,26c0,0c03,03c1,25.59 %,45.17118396415519,5.726173606654836,00e4
7575,2015-07-08 14:20:22,867.1,3,LoRa,125,SF12,4/5,on,-122,-16.2,2,0026c10c0903c042403e5104126900e3,00,26c1,0c09,03c0,25.98 %,45.17116250648051,5.726130691305482,00e3
7570,2015-07-08 14:20:18,867.3,4,LoRa,125,SF10,4/5,on,-121,-13.8,2,0026c20c0303bd41403e5104126900e3,00,26c2,0c03,03bd,25.59 %,45.17116250648051,5.726130691305482,00e3
7569,2015-07-08 14:20:17,867.7,6,LoRa,125,SF11,4/5,on,-122,-17.5,2,0026c10c0903c342403e5104126900e3,00,26c1,0c09,03c3,25.98 %,45.17116250648051,5.726130691305482,00e3
7563,2015-07-08 14:20:11,868.5,2,LoRa,125,SF10,4/5,on,-120,-9.8,2,0026c20c0903bb40403e6104125800e0,00,26c2,0c09,03bb,25.2 %,45.17133416787793,5.725765910835971,00e0
7554,2015-07-08 14:20:03,867.5,5,LoRa,125,SF12,4/5,on,-122,-8.8,2,0026c20c0f03c340403e7804124000de,00,26c2,0c0f,03c3,25.2 %,45.17158093113672,5.725250926643721,00de
7534,2015-07-08 14:19:45,867.3,4,LoRa,125,SF11,4/5,on,-121,-15,2,0026c00c1503c140403e7b04123000dc,00,26c0,0c15,03c1,25.2 %,45.17161311764873,5.724907603848887,00dc
7533,2015-07-08 14:19:44,867.7,6,LoRa,125,SF12,4/5,on,-121,-15,2,0026c20c1c03bd40403e7b04123000dc,00,26c2,0c1c,03bd,25.2 %,45.17161311764873,5.724907603848887,00dc
7526,2015-07-08 14:19:37,867.3,4,LoRa,125,SF12,4/5,on,-122,-16,2,0026c30c1c03bb42403e7b04123000dc,00,26c3,0c1c,03bb,25.98 %,45.17161311764873,5.724907603848887,00dc
7521,2015-07-08 14:19:33,867.7,6,LoRa,125,SF10,4/5,on,-121,-12.8,2,0026c10c1c03b241403e7b04123000dc,00,26c1,0c1c,03b2,25.59 %,45.17161311764873,5.724907603848887,00dc
7520,2015-07-08 14:19:32,868.3,1,LoRa,125,SF11,4/5,on,-121,-13.5,2,0026c20c1c03ba41403e7b04123000dc,00,26c2,0c1c,03ba,25.59 %,45.17161311764873,5.724907603848887,00dc
7519,2015-07-08 14:19:31,867.1,3,LoRa,125,SF12,4/5,on,-122,-16.2,2,0026c10c2203bd43403e7b04122f00dc,00,26c1,0c22,03bd,26.38 %,45.17161311764873,5.72488614617421,00dc
7514,2015-07-08 14:19:27,867.3,4,LoRa,125,SF10,4/5,on,-122,-16,2,0026c20c2203c040403e7b04122f00dc,00,26c2,0c22,03c0,25.2 %,45.17161311764873,5.72488614617421,00dc
7505,2015-07-08 14:19:18,867.7,6,LoRa,125,SF12,4/5,on,-121,-14.8,2,0026c20c2203bb3e403e7b04122f00dc,00,26c2,0c22,03bb,24.41 %,45.17161311764873,5.72488614617421,00dc
7501,2015-07-08 14:19:15,867.7,6,LoRa,125,SF9,4/5,on,-120,-13.8,2,0026c20c2203be3f403e7b04122f00dc,00,26c2,0c22,03be,24.8 %,45.17161311764873,5.72488614617421,00dc
7491,2015-07-08 14:19:06,868.6,3,LoRa,125,SF12,4/5,on,-124,-19.2,2,0026c20c2e03bd41403e7b04122f00dc,00,26c2,0c2e,03bd,25.59 %,45.17161311764873,5.72488614617421,00dc
7485,2015-07-08 14:19:01,867.7,6,LoRa,125,SF11,4/5,on,-121,-13.5,2,0026c20c2803b93f403e7b04122f00dc,00,26c2,0c28,03b9,24.8 %,45.17161311764873,5.72488614617421,00dc
